year,count
1665,58
1666,80
1667,84
1668,71
1669,70
1670,71
1671,79
1672,63
1673,69
1674,53
1675,66
1676,64
1677,36
1678,37
1679,11
1683,61
1684,93
1685,107
1686,48
1687,37
1691,26
1692,3
1693,92
1694,54
1695,26
1696,39
1697,91
1698,108
1699,86
1700,66
1701,59
1702,40
1703,38
1704,49
1705,67
1706,37
1707,31
1708,37
1709,41
1710,18
1711,20
1712,37
1713,41
1714,20
1715,27
1716,26
1717,26
1718,22
1719,33
1720,31
1721,32
1722,46
1723,55
1724,51
1725,30
1726,43
1727,41
1728,45
1729,30
1730,38
1731,43
1732,36
1733,38
1734,31
1735,36
1736,55
1737,29
1738,58
1739,51
1740,49
1741,80
1742,54
1743,55
1744,54
1745,63
1746,63
1747,66
1748,78
1749,55
1750,123
1752,101
1753,116
1755,120
1757,118
1759,90
1761,113
1763,58
1764,60
1765,36
1766,44
1767,53
1768,52
1769,71
1771,114
1772,37
1773,42
1774,53
1775,51
1776,46
1777,40
1778,52
1779,41
1780,35
1781,60
1782,32
1783,29
1784,43
1785,28
1786,30
1787,43
1788,31
1789,26
1790,29
1791,27
1792,26
1793,21
1794,32
1795,23
1796,24
1797,25
1798,26
1799,20
1800,21
1801,26
1802,22
1803,18
1804,19
1805,26
1806,26
1807,18
1808,24
1809,30
1810,19
1811,21
1812,25
1813,36
1814,34
1815,26
1816,28
1817,30
1818,29
1819,25
1820,25
1821,31
1822,37
1823,34
1824,29
1825,28
1826,49
1827,28
1828,25
1829,33
1830,28
1831,30
1832,29
1833,32
1834,32
1835,23
1836,29
1837,26
1838,23
1839,25
1840,27
1841,25
1842,18
1843,18
1844,13
1845,18
1846,30
1847,17
1848,19
1849,25
1850,40
1851,36
1852,24
1853,20
1854,16
1855,18
1856,34
1857,39
1858,38
1859,37
1860,28
1861,31
1862,45
1863,31
1864,20
1865,18
1866,27
1867,23
1868,31
1869,34
1870,25
1871,23
1872,19
1873,19
1874,25
1875,23
1876,28
1877,19
1878,23
1879,78
1880,27
1881,20
1882,29
1883,30
1884,23
1885,18
1886,22
