author_name,n_articles,first_year,last_year,n_topics,span_years
"Home, Everard",108,1790,1838,6,49
"Leeuwenhoek, Antoni Van",97,1673,1723,3,51
"Halley, Edmond",72,1676,1761,7,86
"Herschel, William",68,1780,1818,6,39
"Watson, William",64,1741,1778,6,38
"Desaguliers, John Theophilus",55,1716,1742,6,27
"Cayley, Arthur",55,1852,1880,2,29
"Hauksbee, Francis",49,1704,1713,2,10
"Wallis, John",49,1666,1702,4,37
"Owen, Richard",48,1832,1886,1,55
"Davy, Humphry",46,1801,1829,7,29
"Stack, Thomas",46,1730,1752,5,23
"Sabine, Edward",45,1819,1877,5,59
"Lister, Martin",44,1671,1701,3,31
"Faraday, Michael",44,1821,1857,4,37
"Derham, William",42,1698,1736,6,39
"Parsons, James",42,1741,1768,3,28
"Sloane, Hans",41,1691,1755,3,65
"Wollaston, William Hyde",39,1797,1829,4,33
"Mortimer, Cromwell",35,1730,1750,6,21
"Short, James",35,1731,1769,3,39
"Maskelyne, Nevil",35,1759,1879,5,121
"Swinton, John",35,1753,1774,2,22
"Brewster, David",31,1813,1860,2,48
"Bevis, John",30,1737,1771,3,35
"Baker, Henry",30,1740,1766,3,27
"Miles, Henry",30,1741,1755,3,15
"Thoresby, Ralph",29,1696,1723,3,28
"Flamsteed, John",29,1670,1713,4,44
"Airy, George Biddell",29,1826,1885,7,60
"Davy, John",25,1812,1856,3,45
"Boyle, Robert",24,1665,1693,4,29
"Lubbock, John William",24,1830,1857,4,28
"Barker, Thomas",23,1749,1800,4,52
"Knight, Thomas Andrew",23,1795,1837,2,43
"Hevelius, Johannes",23,1666,1686,3,21
"Arderon, William",22,1744,1763,2,20
"Ellis, John",22,1753,1771,3,19
"Cavendish, Henry",21,1766,1809,6,44
"Herschel, John Frederick William",21,1813,1864,4,52
"Hunter, John",20,1766,1794,3,29
"Tyndall, John",20,1853,1882,3,30
"Newton, Isaac",20,1672,1753,2,82
"Petiver, James",20,1697,1715,3,19
"Pond, John",20,1806,1835,6,30
"Jurin, James",20,1718,1745,7,28
"Gray, Stephen",19,1696,1736,4,41
"Hodgson, James",19,1704,1749,2,46
"Rand, Isaac",19,1723,1740,3,18
"Priestley, Joseph",19,1768,1791,4,24
"Oldenburg, Henry",18,1665,1684,8,20
"Cat, Claude Nicholas Le",18,1741,1767,2,27
"Smeaton, John",18,1750,1789,6,40
"Ward, John",18,1729,1755,3,27
"Kater, Henry",17,1813,1840,5,28
"Huxham, John",17,1723,1763,3,41
"Parker, William Kitchen",17,1865,1885,3,21
"Brodie, Benjamin Collins",17,1809,1877,3,69
"Graham, George",17,1721,1749,3,29
"Musgrave, William",17,1683,1713,2,31
"Ivory, James",16,1809,1839,3,31
"Whewell, William",16,1825,1850,2,26
"Cowper, William",16,1694,1712,2,19
"Cassini, Jean Dominique",16,1666,1698,3,33
"Wilmer, John",16,1750,1765,2,16
"Lhuyd, Edward",15,1694,1713,1,20
"Zollman, Philip Henry",15,1731,1749,4,19
"Carbone, Joanne Baptista",15,1724,1730,2,7
"Borlase, William",15,1749,1772,3,24
"Hatchett, Charles",15,1796,1817,3,22
"Roscoe, Henry Enfield",14,1857,1877,3,21
"Matthiessen, Augustus",14,1858,1869,1,12
"Williamson, William Crawford",14,1849,1883,1,35
"Weidler, Johann Friedrich",14,1729,1740,3,12
"Tyson, Edward",14,1679,1704,2,26
"Wilson, Benjamin",14,1753,1779,3,27
"Barlow, Peter",14,1821,1834,4,14
"Cavallo, Tiberius",14,1776,1791,7,16
"Henry, William",14,1752,1824,3,73
"Young, Thomas",14,1793,1826,3,34
"Thomson, William",13,1673,1879,2,207
"Franklin, Benjamin",13,1752,1774,6,23
"Douglas, James",13,1706,1766,4,61
"Molyneux, Thomas",13,1685,1715,2,31
"Waring, Edward",13,1763,1791,2,29
"Thompson, Benjamin",13,1781,1804,3,24
"Christie, Samuel Hunter",13,1823,1836,5,14
"Papin, Denis",12,1675,1713,3,39
"Winthrop, John",12,1670,1774,3,105
"Brande, William Thomas",12,1806,1820,4,15
"Folkes, Martin",12,1717,1750,4,34
"Beale, John",12,1666,1745,4,80
"Graham, Thomas",12,1833,1866,2,34
"Moivre, Abraham De",12,1697,1722,1,26
"Daniell, John Frederic",12,1830,1844,2,15
"Powell, Baden",12,1825,1848,2,24
"Crookes, William",12,1863,1885,2,23
"Maty, Matthew",12,1755,1768,3,14
"Moray, Robert",12,1665,1679,1,15
"Hooke, Robert",12,1665,1687,4,23
"Philip, Alexander Philip Wilson",12,1815,1836,2,22
"Hales, Stephen",12,1728,1755,2,28
"Sprengwell, Conrad Joachim",12,1713,1733,5,21
"Canton, John",12,1753,1769,5,17
"Horsley, Samuel",11,1767,1777,6,11
"Joule, James Prescott",11,1850,1878,1,29
"Blagden, Charles",11,1775,1793,4,19
