author_name,year,count
"Airy, George Biddell",1826,1
"Airy, George Biddell",1827,1
"Airy, George Biddell",1828,1
"Airy, George Biddell",1832,1
"Airy, George Biddell",1839,1
"Airy, George Biddell",1840,1
"Airy, George Biddell",1841,1
"Airy, George Biddell",1842,1
"Airy, George Biddell",1843,1
"Airy, George Biddell",1845,1
"Airy, George Biddell",1851,1
"Airy, George Biddell",1853,1
"Airy, George Biddell",1855,1
"Airy, George Biddell",1856,2
"Airy, George Biddell",1857,1
"Airy, George Biddell",1862,1
"Airy, George Biddell",1863,3
"Airy, George Biddell",1868,2
"Airy, George Biddell",1869,1
"Airy, George Biddell",1870,1
"Airy, George Biddell",1872,2
"Airy, George Biddell",1873,1
"Airy, George Biddell",1878,1
"Airy, George Biddell",1885,1
"Arderon, William",1744,1
"Arderon, William",1745,1
"Arderon, William",1746,7
"Arderon, William",1747,3
"Arderon, William",1748,3
"Arderon, William",1749,1
"Arderon, William",1750,2
"Arderon, William",1753,1
"Arderon, William",1755,1
"Arderon, William",1757,1
"Arderon, William",1763,1
"Baker, Henry",1740,3
"Baker, Henry",1741,1
"Baker, Henry",1743,1
"Baker, Henry",1744,2
"Baker, Henry",1745,2
"Baker, Henry",1747,3
"Baker, Henry",1748,4
"Baker, Henry",1749,2
"Baker, Henry",1750,5
"Baker, Henry",1752,1
"Baker, Henry",1753,1
"Baker, Henry",1755,1
"Baker, Henry",1757,1
"Baker, Henry",1759,1
"Baker, Henry",1764,1
"Baker, Henry",1766,1
"Barker, Thomas",1749,1
"Barker, Thomas",1759,1
"Barker, Thomas",1773,1
"Barker, Thomas",1774,1
"Barker, Thomas",1778,1
"Barker, Thomas",1779,1
"Barker, Thomas",1783,1
"Barker, Thomas",1784,1
"Barker, Thomas",1785,1
"Barker, Thomas",1786,1
"Barker, Thomas",1787,1
"Barker, Thomas",1788,1
"Barker, Thomas",1789,1
"Barker, Thomas",1791,2
"Barker, Thomas",1792,1
"Barker, Thomas",1793,1
"Barker, Thomas",1794,1
"Barker, Thomas",1795,1
"Barker, Thomas",1796,1
"Barker, Thomas",1798,1
"Barker, Thomas",1799,1
"Barker, Thomas",1800,1
"Bevis, John",1737,3
"Bevis, John",1738,1
"Bevis, John",1740,1
"Bevis, John",1741,2
"Bevis, John",1743,1
"Bevis, John",1744,2
"Bevis, John",1747,1
"Bevis, John",1748,1
"Bevis, John",1749,1
"Bevis, John",1752,2
"Bevis, John",1753,3
"Bevis, John",1759,1
"Bevis, John",1761,2
"Bevis, John",1764,2
"Bevis, John",1765,1
"Bevis, John",1767,1
"Bevis, John",1768,1
"Bevis, John",1769,2
"Bevis, John",1771,2
"Boyle, Robert",1665,3
"Boyle, Robert",1666,4
"Boyle, Robert",1667,1
"Boyle, Robert",1668,1
"Boyle, Robert",1670,1
"Boyle, Robert",1672,1
"Boyle, Robert",1673,1
"Boyle, Robert",1674,1
"Boyle, Robert",1675,2
"Boyle, Robert",1677,2
"Boyle, Robert",1678,1
"Boyle, Robert",1684,1
"Boyle, Robert",1685,2
"Boyle, Robert",1691,1
"Boyle, Robert",1693,2
"Brewster, David",1813,1
"Brewster, David",1814,4
"Brewster, David",1815,5
"Brewster, David",1816,3
"Brewster, David",1819,2
"Brewster, David",1829,2
"Brewster, David",1830,5
"Brewster, David",1833,1
"Brewster, David",1835,1
"Brewster, David",1836,1
"Brewster, David",1837,2
"Brewster, David",1838,1
"Brewster, David",1841,2
"Brewster, David",1860,1
"Cavendish, Henry",1766,1
"Cavendish, Henry",1771,1
"Cavendish, Henry",1773,2
"Cavendish, Henry",1775,1
"Cavendish, Henry",1776,2
"Cavendish, Henry",1777,1
"Cavendish, Henry",1778,1
"Cavendish, Henry",1783,2
"Cavendish, Henry",1784,2
"Cavendish, Henry",1785,1
"Cavendish, Henry",1786,1
"Cavendish, Henry",1788,2
"Cavendish, Henry",1790,1
"Cavendish, Henry",1792,1
"Cavendish, Henry",1798,1
"Cavendish, Henry",1809,1
"Cayley, Arthur",1852,1
"Cayley, Arthur",1854,1
"Cayley, Arthur",1856,3
"Cayley, Arthur",1857,7
"Cayley, Arthur",1858,6
"Cayley, Arthur",1859,3
"Cayley, Arthur",1860,1
"Cayley, Arthur",1861,6
"Cayley, Arthur",1862,2
"Cayley, Arthur",1863,1
"Cayley, Arthur",1864,1
"Cayley, Arthur",1865,1
"Cayley, Arthur",1866,2
"Cayley, Arthur",1867,2
"Cayley, Arthur",1868,4
"Cayley, Arthur",1869,3
"Cayley, Arthur",1870,1
"Cayley, Arthur",1871,2
"Cayley, Arthur",1872,1
"Cayley, Arthur",1873,1
"Cayley, Arthur",1874,1
"Cayley, Arthur",1875,1
"Cayley, Arthur",1877,1
"Cayley, Arthur",1878,2
"Cayley, Arthur",1880,1
"Davy, Humphry",1801,1
"Davy, Humphry",1803,1
"Davy, Humphry",1805,2
"Davy, Humphry",1807,1
"Davy, Humphry",1808,2
"Davy, Humphry",1809,2
"Davy, Humphry",1810,3
"Davy, Humphry",1811,2
"Davy, Humphry",1812,1
"Davy, Humphry",1813,3
"Davy, Humphry",1814,4
"Davy, Humphry",1815,3
"Davy, Humphry",1816,3
"Davy, Humphry",1817,2
"Davy, Humphry",1818,2
"Davy, Humphry",1819,1
"Davy, Humphry",1821,3
"Davy, Humphry",1822,2
"Davy, Humphry",1823,2
"Davy, Humphry",1824,2
"Davy, Humphry",1825,1
"Davy, Humphry",1826,1
"Davy, Humphry",1828,1
"Davy, Humphry",1829,1
"Davy, John",1812,3
"Davy, John",1814,1
"Davy, John",1817,1
"Davy, John",1818,1
"Davy, John",1821,1
"Davy, John",1822,2
"Davy, John",1823,1
"Davy, John",1824,1
"Davy, John",1826,2
"Davy, John",1832,3
"Davy, John",1833,1
"Davy, John",1834,2
"Davy, John",1838,1
"Davy, John",1839,1
"Davy, John",1844,1
"Davy, John",1845,1
"Davy, John",1850,1
"Davy, John",1856,1
"Derham, William",1698,2
"Derham, William",1699,1
"Derham, William",1701,1
"Derham, William",1703,2
"Derham, William",1704,3
"Derham, William",1705,2
"Derham, William",1706,1
"Derham, William",1707,2
"Derham, William",1708,2
"Derham, William",1709,5
"Derham, William",1711,1
"Derham, William",1712,2
"Derham, William",1713,1
"Derham, William",1714,1
"Derham, William",1716,1
"Derham, William",1717,1
"Derham, William",1724,1
"Derham, William",1727,1
"Derham, William",1728,1
"Derham, William",1729,3
"Derham, William",1731,1
"Derham, William",1732,1
"Derham, William",1733,2
"Derham, William",1734,3
"Derham, William",1736,1
"Desaguliers, John Theophilus",1716,2
"Desaguliers, John Theophilus",1717,1
"Desaguliers, John Theophilus",1719,3
"Desaguliers, John Theophilus",1720,2
"Desaguliers, John Theophilus",1721,2
"Desaguliers, John Theophilus",1722,2
"Desaguliers, John Theophilus",1723,2
"Desaguliers, John Theophilus",1724,2
"Desaguliers, John Theophilus",1725,5
"Desaguliers, John Theophilus",1726,1
"Desaguliers, John Theophilus",1727,4
"Desaguliers, John Theophilus",1728,2
"Desaguliers, John Theophilus",1729,3
