year,n_articles_with_pages,mean_pages,median_pages
1665,56,3.07,2.0
1666,79,3.71,3.0
1667,83,3.34,2.0
1668,70,4.41,4.0
1669,65,4.31,3.0
1670,68,18.46,4.0
1671,76,13.78,4.0
1672,60,21.22,4.0
1673,68,4.04,3.0
1674,52,5.15,3.0
1675,64,4.61,3.0
1676,58,5.41,5.0
1677,35,5.0,4.0
1678,35,3.51,3.0
1679,10,4.7,5.0
1683,60,7.27,5.5
1684,86,4.98,3.0
1685,95,5.07,3.0
1686,45,5.82,4.0
1687,35,5.57,4.0
1691,25,4.44,3.0
1692,3,8.0,5.0
1693,83,5.52,4.0
1694,52,5.5,3.0
1695,24,7.42,5.5
1696,37,5.11,3.0
1697,86,5.42,3.0
1698,102,4.76,3.0
1699,78,6.1,3.5
1700,60,5.18,3.0
1701,55,6.31,4.0
1702,37,14.86,4.0
1703,30,8.03,8.0
1704,44,6.91,5.0
1705,65,6.48,4.0
1706,33,5.12,5.0
1707,29,5.86,5.0
1708,37,6.86,5.0
1709,41,6.24,4.0
1710,17,12.53,5.0
1711,20,9.45,5.0
1712,35,4.54,3.0
1713,39,7.74,5.0
1714,19,8.68,4.0
1715,26,8.73,4.0
1716,24,6.67,4.5
1717,24,8.5,5.5
1718,20,8.15,8.0
1719,32,6.81,5.5
1720,30,4.53,4.0
1721,30,4.57,4.0
1722,39,6.15,4.0
1723,51,4.86,3.0
1724,47,4.49,4.0
1725,29,8.31,5.0
1726,39,5.26,3.0
1727,39,4.62,3.0
1728,41,7.39,5.0
1729,30,7.63,5.5
1730,36,7.39,5.0
1731,38,6.32,4.0
1732,35,7.77,5.0
1733,35,5.97,5.0
1734,30,9.47,8.0
1735,30,6.03,5.0
1736,54,4.61,3.5
1737,25,5.84,4.0
1738,55,6.6,4.0
1739,46,7.13,4.5
1740,45,6.51,4.0
1741,72,4.81,4.0
1742,52,5.79,4.0
1743,47,7.72,5.0
1744,48,7.56,5.0
1745,59,7.46,4.0
1746,58,7.62,4.0
1747,61,7.46,5.0
1748,72,9.76,5.0
1749,53,5.81,4.0
1750,117,4.52,3.0
1752,97,6.34,5.0
1753,113,16.46,5.0
1755,117,8.32,5.0
1757,116,8.03,6.0
1759,88,11.61,6.0
1761,110,6.42,4.0
1763,56,9.75,5.5
1764,57,7.95,5.0
1765,35,10.09,6.0
1766,42,7.64,6.0
1767,51,10.55,7.0
1768,49,7.49,7.0
1769,69,7.42,6.0
1771,112,10.99,7.0
1772,35,13.71,7.0
1773,41,11.88,8.0
1774,50,9.84,6.0
1775,49,11.04,7.0
1776,44,13.73,9.5
1777,38,22.58,12.0
1778,52,20.44,11.0
1779,39,17.23,14.0
1780,35,17.09,14.0
1781,58,11.03,4.5
1782,28,15.75,10.0
1783,29,19.0,9.0
1784,41,12.22,6.0
1785,26,18.58,9.0
1786,29,17.45,14.0
1787,41,21.2,6.0
1788,29,19.66,15.0
1789,24,13.0,11.5
1790,27,35.3,11.0
1791,25,17.84,17.0
1792,24,20.04,17.5
1793,20,12.65,6.5
1794,30,15.6,6.5
1795,22,28.09,19.5
1796,24,22.12,10.0
1797,24,23.75,15.5
1798,24,21.17,18.0
1799,20,18.5,17.0
1800,21,35.9,26.0
1801,24,19.83,15.5
1802,21,26.48,20.0
1803,17,45.06,17.0
1804,18,25.33,21.0
1805,24,15.58,13.5
1806,24,20.54,14.0
1807,17,20.0,13.0
1808,23,17.13,10.0
1809,30,16.57,11.0
1810,17,20.12,15.0
1811,21,19.9,14.0
1812,23,19.13,11.0
1813,34,9.71,7.0
1814,34,18.53,17.0
1815,26,18.15,16.0
1816,27,14.11,7.0
1817,29,13.38,10.0
1818,28,19.36,11.0
1819,23,23.17,13.0
1820,24,14.88,9.5
1821,30,15.47,13.0
1822,36,14.14,10.0
1823,32,17.56,12.0
1824,27,21.56,14.0
1825,26,23.5,14.0
1826,45,25.44,13.0
1827,25,16.2,9.0
1828,24,16.92,9.5
1829,31,16.55,9.0
1830,26,16.12,13.0
1831,29,17.1,9.0
1832,26,23.04,20.0
1833,30,27.07,16.0
1834,29,20.07,15.0
1835,21,16.95,10.0
1836,27,22.44,18.0
1837,24,17.92,13.0
1838,20,19.95,16.5
1839,22,19.09,12.5
1840,24,25.17,19.0
1841,21,14.14,10.0
1842,15,20.0,13.0
1843,14,23.36,13.0
1844,12,26.58,14.5
1845,17,20.94,13.0
1846,29,21.59,13.0
1847,17,14.76,8.0
1848,19,14.16,12.0
1849,24,21.12,18.0
1850,38,21.63,17.0
1851,33,22.82,17.0
1852,23,28.13,18.0
1853,19,29.11,20.0
1854,15,23.8,16.0
1855,18,23.06,17.5
1856,32,29.03,20.5
1857,38,23.26,19.5
1858,37,23.86,17.0
1859,35,26.0,19.0
1860,27,22.59,16.0
1861,29,28.28,21.0
1862,41,27.22,21.0
1863,30,21.57,19.0
1864,19,39.21,23.0
1865,17,46.12,34.0
1866,27,32.15,20.0
1867,22,29.77,19.5
1868,29,23.31,17.0
1869,29,27.55,23.0
1870,25,23.76,18.0
1871,21,33.86,23.0
1872,18,27.22,21.0
1873,19,34.05,23.0
1874,24,33.33,26.5
1875,22,34.77,29.5
1876,28,25.82,21.0
1877,18,41.5,35.5
1878,23,35.17,26.0
1879,77,18.48,9.0
1880,26,41.23,25.5
1881,20,45.3,37.5
1882,28,49.5,42.5
1883,29,33.03,26.0
1884,21,31.95,21.0
1885,17,46.65,33.0
1886,20,41.55,34.0
