year,topic,count
1665,Acknowledgement,1
1665,Article,41
1665,Astronomical Observation,3
1665,Book-review,5
1665,Editorial,1
1665,Errata,1
1665,Illustration,1
1665,Letter,4
1665,Notes,1
1666,Advertisement,1
1666,Appendix,2
1666,Article,43
1666,Astronomical Observation,4
1666,Book-review,9
1666,Errata,4
1666,Experiment,3
1666,Illustration,1
1666,Letter,8
1666,List,1
1666,Meteorological-observation,1
1666,Notes,2
1666,Report,1
1667,Acknowledgement,1
1667,Advertisement,1
1667,Article,43
1667,Astronomical Observation,2
1667,Book-review,8
1667,Editorial,2
1667,Errata,4
1667,Experiment,5
1667,Illustration,1
1667,Letter,14
1667,Magnetical-observation,1
1667,Notes,1
1667,Preface,1
1668,Abstract,1
1668,Article,20
1668,Articles,4
1668,Astronomical Observation,1
1668,Book-review,12
1668,Errata,7
1668,Experiment,2
1668,Illustration,2
1668,Letter,18
1668,Magnetical-observation,1
1668,Meteorological-observation,2
1668,Notes,1
1669,Acknowledgement,1
1669,Appendix,1
1669,Article,24
1669,Articles,3
1669,Astronomical Observation,1
1669,Book-review,12
1669,Errata,8
1669,Experiment,1
1669,Illustration,3
1669,Letter,15
1669,Preface,1
1670,Acknowledgement,1
1670,Article,20
1670,Articles,3
1670,Astronomical Observation,4
1670,Book-review,11
1670,Editorial,1
1670,Errata,7
1670,Experiment,2
1670,Illustration,2
1670,Letter,17
1670,Notes,1
1670,Preface,2
1671,Abstract,2
1671,Article,18
1671,Articles,3
1671,Astronomical Observation,6
1671,Book-review,12
1671,Errata,12
1671,Experiment,2
1671,Illustration,1
1671,Letter,21
1671,Preface,2
1672,Acknowledgement,1
1672,Article,11
1672,Astronomical Observation,6
1672,Book-review,10
1672,Editorial,1
1672,Errata,8
1672,Experiment,1
1672,Illustration,2
1672,Letter,22
1672,Preface,1
1673,Acknowledgement,1
1673,Advertisement,1
1673,Article,21
1673,Astronomical Observation,2
1673,Book-review,10
1673,Editorial,1
1673,Errata,8
1673,Experiment,3
1673,Letter,20
1673,Meteorological-observation,1
1673,Preface,1
1674,Acknowledgement,1
1674,Article,18
1674,Astronomical Observation,3
1674,Book-review,9
1674,Editorial,1
1674,Errata,7
1674,Experiment,1
1674,Letter,12
1674,Preface,1
1675,Acknowledgement,1
1675,Article,17
1675,Articles,3
1675,Astronomical Observation,3
1675,Book-review,10
1675,Errata,8
1675,Experiment,5
1675,Illustration,2
1675,Letter,17
1676,Article,10
1676,Articles,1
1676,Astronomical Observation,10
1676,Book-review,10
1676,Errata,9
1676,Experiment,2
1676,Illustration,4
1676,Letter,17
1676,Preface,1
1677,Advertisement,1
1677,Article,12
1677,Astronomical Observation,2
1677,Book-review,6
1677,Errata,1
1677,Experiment,2
1677,Illustration,1
1677,Letter,9
1677,Preface,2
1678,Article,20
1678,Astronomical Observation,2
1678,Book-review,5
1678,Illustration,2
1678,Letter,8
1679,Article,9
1679,Illustration,1
1679,Letter,1
1683,Article,21
1683,Astronomical Observation,11
1683,Book-review,4
1683,Editorial,1
1683,Errata,5
1683,Experiment,1
1683,Illustration,4
1683,Letter,12
1683,Magnetical-observation,1
1683,Preface,1
1684,Acknowledgement,1
1684,Advertisement,2
1684,Article,36
1684,Astronomical Observation,4
1684,Book-review,3
1684,Editorial,3
1684,Errata,5
1684,Experiment,3
1684,Illustration,6
1684,Letter,29
1684,Magnetical-observation,1
1685,Article,40
1685,Astronomical Observation,3
1685,Book-review,5
1685,Catalogue,1
1685,Errata,5
1685,Experiment,4
1685,Illustration,12
1685,Letter,37
1686,Abstract,1
1686,Advertisement,1
1686,Article,19
1686,Astronomical Observation,7
1686,Book-review,5
1686,Catalogue,1
1686,Errata,2
1686,Experiment,1
1686,Illustration,3
1686,Letter,4
1686,Meteorological-observation,3
1686,Preface,1
1687,Article,16
1687,Astronomical Observation,5
1687,Book-review,2
1687,Editorial,1
1687,Experiment,2
1687,Illustration,2
1687,Letter,7
1687,Meteorological-observation,2
1691,Advertisement,1
1691,Article,16
1691,Astronomical Observation,2
1691,Book-review,1
1691,Experiment,2
1691,Illustration,1
1691,Letter,3
1692,Article,2
1692,Magnetical-observation,1
1693,Advertisement,2
1693,Article,28
1693,Astronomical Observation,2
1693,Book-review,11
1693,Editorial,1
1693,Errata,6
1693,Experiment,4
1693,Illustration,8
1693,Letter,29
1693,Preface,1
1694,Article,21
1694,Astronomical Observation,2
1694,Book-review,5
1694,Catalogue,1
1694,Errata,2
1694,Experiment,2
1694,Illustration,2
1694,Letter,18
1694,Magnetical-observation,1
1695,Article,12
1695,Book-review,3
1695,Errata,4
1695,Illustration,2
1695,Letter,5
1696,Article,12
1696,Book-review,5
1696,Catalogue,1
1696,Errata,3
1696,Experiment,1
1696,Illustration,2
1696,Letter,14
1696,Meteorological-observation,1
1697,Advertisement,1
1697,Article,34
